epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21613.8,1.02328,0.48049,1.12357,0.97532,0.9631,0.98326,0.70591,1.1014,0.37709,1.13845,0.00710071,0.00710071,0.00710071
43,22049.7,1.01912,0.48042,1.11861,0.97633,0.96345,0.98345,0.70651,1.1002,0.3766,1.13735,0.00703,0.00703,0.00703
44,22491.8,1.01959,0.47488,1.12253,0.9767,0.96298,0.98331,0.70566,1.10019,0.37613,1.13729,0.00695929,0.00695929,0.00695929
45,22925.9,1.01606,0.47189,1.1189,0.97508,0.96298,0.9833,0.708,1.09919,0.3757,1.13677,0.00688857,0.00688857,0.00688857
46,23363.6,1.01091,0.46871,1.11778,0.97676,0.96298,0.98328,0.70551,1.09987,0.37499,1.13696,0.00681786,0.00681786,0.00681786
47,23786,0.99951,0.46497,1.11108,0.97869,0.96345,0.98333,0.70452,1.10048,0.37378,1.13737,0.00674714,0.00674714,0.00674714
48,24213.1,1.00928,0.4664,1.11578,0.97823,0.96439,0.98495,0.70533,1.09995,0.37304,1.1371,0.00667643,0.00667643,0.00667643
49,24661,1.00334,0.46347,1.11258,0.97848,0.96345,0.98352,0.70564,1.09958,0.37199,1.13673,0.00660571,0.00660571,0.00660571
50,25078,1.00657,0.46566,1.11134,0.97899,0.96251,0.98341,0.70488,1.09953,0.37207,1.13641,0.006535,0.006535,0.006535
51,25488.5,1.00337,0.46425,1.11179,0.97873,0.96251,0.98348,0.70514,1.09941,0.3716,1.13669,0.00646429,0.00646429,0.00646429
52,25909.1,0.9969,0.46151,1.11027,0.97994,0.96251,0.98362,0.70363,1.09942,0.37169,1.13691,0.00639357,0.00639357,0.00639357
53,26342.4,0.99428,0.45732,1.10642,0.97674,0.96412,0.9843,0.70475,1.09902,0.37146,1.13679,0.00632286,0.00632286,0.00632286
54,26770.9,0.9963,0.46052,1.10791,0.98089,0.96236,0.9839,0.70572,1.09901,0.37107,1.13689,0.00625214,0.00625214,0.00625214
55,27190.1,0.99722,0.46161,1.11108,0.97339,0.97001,0.98388,0.70647,1.09935,0.37064,1.13694,0.00618143,0.00618143,0.00618143
56,27602,0.98776,0.45544,1.10493,0.97317,0.96887,0.98331,0.70641,1.09947,0.37058,1.13676,0.00611071,0.00611071,0.00611071
57,28031.9,0.98679,0.45331,1.10473,0.97672,0.96298,0.98337,0.70708,1.09963,0.36973,1.13696,0.00604,0.00604,0.00604
58,28459.3,0.98961,0.45358,1.10735,0.97697,0.96298,0.98368,0.70771,1.0999,0.36928,1.13718,0.00596929,0.00596929,0.00596929
59,28860.8,0.98322,0.44844,1.10473,0.97671,0.96302,0.98367,0.70829,1.09944,0.36834,1.13717,0.00589857,0.00589857,0.00589857
60,29272.5,0.98529,0.45014,1.10008,0.98107,0.96251,0.98397,0.7081,1.09948,0.36854,1.13711,0.00582786,0.00582786,0.00582786
61,29697.8,0.98603,0.44883,1.10408,0.97899,0.96345,0.98382,0.70819,1.09937,0.36862,1.13714,0.00575714,0.00575714,0.00575714
62,30114.9,0.97674,0.44454,1.1006,0.98065,0.96298,0.98392,0.70789,1.09913,0.36876,1.13713,0.00568643,0.00568643,0.00568643
63,30530.6,0.97403,0.44241,1.09943,0.9791,0.96345,0.98392,0.70809,1.09933,0.3684,1.13715,0.00561571,0.00561571,0.00561571
